Timestamp_ms,SP_Pitch,Pos_Pitch,Vel_Pitch,Vq_Pitch,Vd_Pitch,SP_Yaw,Pos_Yaw,Vel_Yaw,Vq_Yaw,Vd_Yaw,,,,,
956244,0,4246.365234375,105.104141235352,8,0,-0.497607469558716,-0.476004600524902,-0.53050047159195,-0.122954115271568,0,,,,,
956249,0,4246.32763671875,1377.79357910156,-6.49654245376587,0,-0.499609470367432,-0.478407382965088,-0.431646704673767,-0.112992450594902,0,,,,,
956254,0,4246.32080078125,693.690185546875,8,0,-0.501611232757568,-0.480666160583496,-0.528260767459869,-0.280710488557816,0,,,,,
956259,0,4245.923828125,424.996826171875,-0.188756942749023,0,-0.503588914871216,-0.482895374298096,-0.367626070976257,-0.27084481716156,0,,,,,
956264,0,4246.3154296875,661.616882324219,8,0,-0.505590915679932,-0.485169410705566,-0.299945950508118,-0.333849340677261,0,,,,,
956269,0,4247.84326171875,-491.137786865234,8,0,-0.507592678070068,-0.48759937286377,-0.520612359046936,-0.226158440113068,0,,,,,
956274,0,4247.98974609375,-3830.26635742188,8,0,-0.509594678878784,-0.489828109741211,-0.469045698642731,-0.120356932282448,0,,,,,
956279,0,4244.74267578125,-1346.86962890625,-8,0,-0.5115966796875,-0.492117404937744,-0.479953736066818,-0.0907463654875755,0,,,,,
956284,0,4245.974609375,-440.468200683594,8,0,-0.513598680496216,-0.494499206542969,-0.472146958112717,-0.0886079668998718,0,,,,,
956289,0,4246.19091796875,1544.71081542969,8,0,-0.515600681304932,-0.496757984161377,-0.39113113284111,-0.0552956014871597,0,,,,,
956294,0,4246.1201171875,-633.830383300781,3.44865846633911,0,-0.517602443695068,-0.499017238616943,-0.472237437963486,-0.060142133384943,0,,,,,
956299,0,4245.2353515625,-2252.76953125,-8,0,-0.519604444503784,-0.501401901245117,-0.524830520153046,-0.168572068214417,0,,,,,
956304,0,4246.18896484375,-921.6015625,8,0,-0.5216064453125,-0.503661155700684,-0.440996468067169,-0.0254725962877274,0,,,,,
956309,0,4245.67919921875,-824.041381835938,-8,0,-0.523608446121216,-0.505928993225098,-0.4986532330513,0.0149582698941231,0,,,,,
956314,0,4246.45068359375,-154.374481201172,8,0,-0.525610446929932,-0.508116245269775,-0.436714947223663,-0.0482024475932121,0,,,,,
956319,0,4247.37646484375,139.512268066406,8,0,-0.527587890625,-0.510495185852051,-0.381781369447708,-0.0651126652956009,0,,,,,
956324,0,4247.40576171875,-1220.703125,8,0,-0.529589891433716,-0.512702941894531,-0.383033126592636,-0.0768550485372543,0,,,,,
956329,0,4247.2353515625,735.63037109375,8,0,-0.531591892242432,-0.514902114868164,-0.550316989421845,0.11945179104805,0,,,,,
956334,0,4247.0947265625,-433.50439453125,8,0,-0.533593654632568,-0.517215251922607,-0.431646704673767,0.0409613773226738,0,,,,,
956339,0,4247.14501953125,-1277.40673828125,2.89032745361328,0,-0.535595655441284,-0.519369125366211,-0.518911004066467,-0.00580746866762638,0,,,,,
956344,0,4247.04541015625,-2673.771484375,-8,0,-0.53759765625,-0.521538734436035,-0.395575493574142,-0.0171455219388008,0,,,,,
956349,0,4241.19921875,1221.50366210938,-8,0,-0.539599657058716,-0.523788452148438,-0.372431635856628,0.0189710203558207,0,,,,,
956354,0,4241.62353515625,1626.00842285156,-8,0,-0.541601657867432,-0.525858879089356,-0.342824101448059,0.113943539559841,0,,,,,
956359,0,4241.12890625,1849.15295410156,-8,0,-0.543603420257568,-0.527974128723145,-0.42607706785202,0.0400977171957493,0,,,,,
956364,0,4240.5576171875,-3880.63525390625,8,0,-0.545605421066284,-0.530152320861816,-0.411388903856277,0.0837280452251434,0,,,,,
956369,0,4234.57763671875,40.9456634521484,-8,0,-0.547607421875,-0.532216548919678,-0.403357326984406,0.13722836971283,0,,,,,
956374,0,4234.791015625,-312.755310058594,-8,0,-0.549609422683716,-0.534241676330566,-0.372431635856628,0.0920401737093926,0,,,,,
956379,0,4234.962890625,106.203353881836,-8,0,-0.551611423492432,-0.536219120025635,-0.275158494710922,-0.110384799540043,0,,,,,
956384,0,4234.5400390625,-1897.0927734375,-8,0,-0.5535888671875,-0.538328170776367,-0.459695965051651,0.00937354378402233,0,,,,,
956389,0,4236.08203125,3159.13842773438,8,0,-0.555590867996216,-0.540278911590576,-0.392413526773453,-0.0466791205108166,0,,,,,
956394,0,4234.89892578125,1364.361328125,-8,0,-0.557592868804932,-0.542190551757813,-0.357244551181793,-0.0142073603346944,0,,,,,
956399,0,4234.85546875,-200.115264892578,-8,0,-0.559594631195068,-0.544203758239746,-0.472146958112717,-0.0160248298197985,0,,,,,
956404,0,4234.77392578125,-287.797027587891,-6.03190088272095,0,-0.561596632003784,-0.546067237854004,-0.381781369447708,0.0163543522357941,0,,,,,
956409,0,4234.748046875,-442.006225585938,-8,0,-0.5635986328125,-0.547915935516357,-0.373652726411819,-0.00414721667766571,0,,,,,
956414,0,4235.8095703125,-422.745574951172,8,0,-0.565600633621216,-0.549728393554688,-0.388591349124908,0.00581561401486397,0,,,,,
956419,0,4235.5908203125,-45.2050590515137,8,0,-0.567602634429932,-0.551630973815918,-0.403357326984406,-0.0164215601980686,0,,,,,
956424,0,4234.52294921875,461.089050292969,-8,0,-0.569604396820068,-0.553404331207275,-0.450346201658249,0.0618379488587379,0,,,,,
956429,0,4233.32470703125,-769.858276367188,-8,0,-0.571606397628784,-0.555115222930908,-0.235302001237869,-0.188899546861649,0,,,,,
956434,0,4233.2587890625,-875.289123535156,-8,0,-0.5736083984375,-0.556933879852295,-0.383033126592636,-0.0895592495799065,0,,,,,
956439,0,4232.75390625,-3892.19702148438,-8,0,-0.575610399246216,-0.558623790740967,-0.294517070055008,-0.0669311732053757,0,,,,,
956444,0,4233.78955078125,3077.9931640625,8,0,-0.577587842941284,-0.560307502746582,-0.182455375790596,-0.280387759208679,0,,,,,
956449,0,4233.62890625,832.412292480469,-8,0,-0.57958984375,-0.562068939208984,-0.254001498222351,-0.0606643632054329,0,,,,,
956454,0,4233.775390625,688.541931152344,8,0,-0.581591844558716,-0.56372594833374,-0.352173835039139,-0.195443332195282,0,,,,,
956459,0,4233.86767578125,216.627593994141,8,0,-0.583593845367432,-0.56535005569458,-0.349167853593826,-0.136478006839752,0,,,,,
956464,0,4232.677734375,-3643.99731445313,8,0,-0.585595607757568,-0.567099571228027,-0.472237437963486,-0.00879788398742676,0,,,,,
956469,0,4233.76025390625,-69.2430114746094,8,0,-0.587597608566284,-0.568714618682861,-0.285167306661606,-0.0947006046772003,0,,,,,
956474,0,4233.07666015625,-708.345520019531,-8,0,-0.589599609375,-0.57036828994751,-0.225952252745628,-0.170121118426323,0,,,,,
956479,0,4233.0634765625,2914.64379882813,-8,0,-0.591601610183716,-0.572033882141113,-0.370873332023621,-0.164291426539421,0,,,,,
956484,0,4233.38916015625,-1467.73596191406,8,0,-0.593603610992432,-0.573798656463623,-0.236073479056358,-0.195165663957596,0,,,,,
956489,0,4235.0947265625,915.133544921875,8,0,-0.595605373382568,-0.575482368469238,-0.352173835039139,-0.332285940647125,0,,,,,
956494,0,4236.03173828125,657.80859375,8,0,-0.597607374191284,-0.577187061309815,-0.310175627470017,-0.262948602437973,0,,,,,
956499,0,4234.96484375,950.94775390625,-8,0,-0.599609375,-0.579009056091309,-0.3251873254776,-0.258094608783722,0,,,,,
956504,0,4234.4375,-919.09423828125,-8,0,-0.601611375808716,-0.580740451812744,-0.31321656703949,-0.314928352832794,0,,,,,
956509,0,4234.55029296875,284.32568359375,-7.82642459869385,0,-0.603588819503784,-0.582556247711182,-0.318404167890549,-0.272762984037399,0,,,,,
956514,0,4234.6669921875,-813.268432617188,8,0,-0.6055908203125,-0.584467887878418,-0.354891926050186,-0.13081306219101,0,,,,,
956519,0,4229.6162109375,-1408.65710449219,-8,0,-0.607592821121216,-0.586310386657715,-0.216602504253387,-0.100188940763474,0,,,,,
956524,0,4228.30908203125,621.80810546875,-8,0,-0.609594821929932,-0.588200569152832,-0.322566300630569,-0.276921689510345,0,,,,,
956529,0,4228.5654296875,1279.02392578125,-8,0,-0.611596584320068,-0.590097427368164,-0.456776052713394,-0.132040172815323,0,,,,,
956534,0,4228.193359375,-2010.56982421875,-6.05204582214356,0,-0.613598585128784,-0.592170715332031,-0.383033126592636,-0.0905176550149918,0,,,,,
956539,0,4228.3017578125,641.87109375,-8,0,-0.6156005859375,-0.594114780426025,-0.361523598432541,-0.233509883284569,0,,,,,
956544,0,4228.7802734375,-777.147583007813,8,0,-0.617602586746216,-0.596152305603027,-0.39113113284111,-0.193957388401032,0,,,,,
956549,0,4227.375,-982.784851074219,-8,0,-0.619604587554932,-0.598312377929688,-0.4986532330513,-0.256229490041733,0,,,,,
956554,0,4225.5458984375,-2068.15893554688,-8,0,-0.621606349945068,-0.600364685058594,-0.422118157148361,-0.0757945775985718,0,,,,,
956559,0,4226.89794921875,144.099884033203,-8,0,-0.623608350753784,-0.602447032928467,-0.482989877462387,-0.074874073266983,0,,,,,
956564,0,4226.98486328125,-1075.1318359375,8,0,-0.6256103515625,-0.604672908782959,-0.40048086643219,-0.0281655490398407,0,,,,,
956569,0,4227.201171875,-753.077026367188,4.11613845825195,0,-0.627587795257568,-0.606767177581787,-0.392413526773453,-0.0984665527939796,0,,,,,
956574,0,4225.8232421875,-134.261962890625,-8,0,-0.629589796066284,-0.608885765075684,-0.455302566289902,-0.0834639370441437,0,,,,,
956579,0,4227.34619140625,-733.627807617188,8,0,-0.631591796875,-0.611015796661377,-0.453764379024506,-0.0792204588651657,0,,,,,
956584,0,4228.44677734375,-227.210571289063,8,0,-0.633593797683716,-0.613298892974854,-0.412737756967545,-0.0814276933670044,0,,,,,
956589,0,4228.6201171875,-1851.41589355469,8,0,-0.635595798492432,-0.615449905395508,-0.442442357540131,-0.0708975940942764,0,,,,,
956594,0,4228.54052734375,530.350463867188,-8,0,-0.637597560882568,-0.617595195770264,-0.304863095283508,-0.216481849551201,0,,,,,
956599,0,4228.65673828125,280.161376953125,8,0,-0.639599561691284,-0.619898796081543,-0.537610530853272,-0.110577046871185,0,,,,,
956604,0,4230.484375,509.418029785156,8,0,-0.6416015625,-0.622095108032227,-0.50956130027771,-0.134391412138939,0,,,,,
956609,0,4228.31103515625,-1175.07690429688,-8,0,-0.643603563308716,-0.624243259429932,-0.430088400840759,-0.0474642068147659,0,,,,,
956614,0,4228.66357421875,-1205.78540039063,8,0,-0.645605564117432,-0.626562118530273,-0.422118157148361,-0.0248225480318069,0,,,,,
956619,0,4227.2138671875,-1188.39660644531,-8,0,-0.647607326507568,-0.628767490386963,-0.520612359046936,0.102276839315891,0,,,,,
956624,0,4229.296875,1354.3232421875,8,0,-0.649609327316284,-0.630927562713623,-0.502986311912537,0.0660322457551956,0,,,,,
956629,0,4228.7529296875,456.751708984375,8,0,-0.651611328125,-0.633291244506836,-0.459695965051651,0.123443514108658,0,,,,,
956634,0,4228.50732421875,-287.224273681641,5.05768489837647,0,-0.653588771820068,-0.635457515716553,-0.528260767459869,-0.0893772542476654,0,,,,,
956639,0,4228.53076171875,943.922241210938,8,0,-0.655590772628784,-0.637635707855225,-0.396851569414139,-0.0126215852797031,0,,,,,
956644,0,4228.4052734375,-1045.17712402344,8,0,-0.6575927734375,-0.639957427978516,-0.592950105667114,-0.0551339723169804,0,,,,,
956649,0,4227.20458984375,-763.622009277344,-8,0,-0.659594774246216,-0.642141819000244,-0.459695965051651,0.0814606323838234,0,,,,,
956654,0,4228.94140625,3867.95336914063,8,0,-0.661596775054932,-0.644241809844971,-0.323623925447464,0.0497855506837368,0,,,,,
956659,0,4228.16357421875,-698.148803710938,8,0,-0.663598537445068,-0.646360397338867,-0.333474338054657,-0.0512510314583778,0,,,,,
956664,0,4228.4755859375,-730.826171875,-1.43394422531128,0,-0.665600538253784,-0.64861011505127,-0.343948125839233,0.1426762342453,0,,,,,
956669,0,4222.33837890625,88.5137100219727,-8,0,-0.6676025390625,-0.650704383850098,-0.470583558082581,0.0395911931991577,0,,,,,
956674,0,4221.763671875,-1464.9453125,-8,0,-0.669604539871216,-0.652744770050049,-0.443105906248093,0.0895633324980736,0,,,,,
956679,0,4222.10205078125,-1383.19677734375,-8,0,-0.671606540679932,-0.654871940612793,-0.500288188457489,0.0174560341984034,0,,,,,
956684,0,4222.89306640625,-697.531066894531,8,0,-0.673608303070068,-0.656816482543945,-0.322566300630569,0.117723986506462,0,,,,,
956689,0,4222.11767578125,767.454040527344,-8,0,-0.675610303878784,-0.658740043640137,-0.358396947383881,-0.0090175112709403,0,,,,,
956694,0,4221.8974609375,-20.0037860870361,-8,0,-0.677587985992432,-0.660735130310059,-0.337312459945679,-0.0381910465657711,0,,,,,
956699,0,4224.22412109375,-487.492919921875,8,0,-0.679589748382568,-0.662604808807373,-0.459695965051651,0.0350283570587635,0,,,,,
956704,0,4221.8056640625,-1664.30505371094,-8,0,-0.681591749191284,-0.664375305175781,-0.31321656703949,-0.079583615064621,0,,,,,
956709,0,4222.390625,-1501.03405761719,-8,0,-0.68359375,-0.666131019592285,-0.314243495464325,-0.0910147950053215,0,,,,,
956714,0,4223.0068359375,379.970458984375,8,0,-0.685595750808716,-0.667973518371582,-0.362708926200867,-0.0135340839624405,0,,,,,
956719,0,4219.96630859375,-2903.55346679688,-8,0,-0.687597751617432,-0.669657707214356,-0.392689436674118,-0.128641560673714,0,,,,,
956724,0,4221.509765625,-56.7129554748535,8,0,-0.689599514007568,-0.671353340148926,-0.435306161642075,0.00551016628742218,0,,,,,
956729,0,4221.33544921875,1225.68029785156,-8,0,-0.691601514816284,-0.673069953918457,-0.245453879237175,-0.0928443223237991,0,,,,,
956734,0,4219.1083984375,-2948.74609375,-8,0,-0.693603515625,-0.674720764160156,-0.361523598432541,-0.152470678091049,0,,,,,
956739,0,4222.19091796875,54.1702384948731,8,0,-0.695605516433716,-0.676332950592041,-0.395575493574142,-0.0862289667129517,0,,,,,
956744,0,4221.9140625,-2066.16748046875,4.50857877731323,0,-0.697607517242432,-0.677902698516846,-0.202387467026711,-0.323029339313507,0,,,,,
956749,0,4222.3095703125,617.532165527344,8,0,-0.699609279632568,-0.679640293121338,-0.303866803646088,-0.0377517491579056,0,,,,,
956754,0,4223.142578125,2238.17163085938,8,0,-0.701611280441284,-0.681240081787109,-0.341265797615051,-0.252066493034363,0,,,,,
956759,0,4222.5048828125,-1709.68505859375,8,0,-0.703588962554932,-0.682890892028809,-0.444535285234451,-0.0945661664009094,0,,,,,
